Id;Fishing_village;Sex;Age_class;Start_fishing_year;Main_gear;Second_gear;Number_fisher;Years_fishing_Chwaka;Fisher_number
OH0213U1;Uroa;M;60.5;1971;Handline;Spear;8;50;8
OH0213U2;Uroa;M;50.5;2001;Handline;FootFisher;5;20;5
OH0213U3;Uroa;M;80.5;1971;Floatnet;Dragnet+Handline;12;50;12
OH0213U4;Uroa;M;21.5;2004;Spear;Spear;7;17;7
OH0213U5;Uroa;M;70.5;1976;Spear;Handline;8;45;8
OH0214C6;Chwaka;M;21.5;2014;Dragnet;Handline;8;7;8
OH0214C7;Chwaka;M;30.5;2001;Longline;none;1;20;1
OH0214C8;Chwaka;M;30.5;2000;Dragnet;Trap+Handline;14;21;14
OH0214C9;Chwaka;M;50.5;1995;Trap;none;1;26;1
OH0214C10;Chwaka;M;30.5;2014;Handline;Trap;1;7;1
OH0220M11;Marumbi;M;50.5;2011;Floatnet;Handline;8;10;3
OH0220M12;Marumbi;M;50.5;1991;Trap;Gillnet;4;30;4
OH0220M13;Marumbi;M;30.5;2011;Trap;Floatnet;12;10;2
OH0220M14;Marumbi;M;30.5;2001;Handline;Trap;7;20;1
OH0220M15;Marumbi;M;50.5;1991;Spear;none;8;30;4
OH0221P16;Pongwe;M;60.5;1976;Spear;FootFisher;8;45;1
OH0221P17;Pongwe;M;40.5;1993;Dragnet;Gillnet;8;28;12
OH0221P18;Pongwe;M;30.5;2005;Dragnet;none;12;16;8
OH0221P19;Pongwe;M;60.5;1971;Handline;none;8;50;3
OH0221P20;Pongwe;M;60.5;1984;Handline;Trap;2;37;2
NS0213U1;Uroa;M;21.5;2014;Gillnet;none;8;7;8
NS0213U2;Uroa;M;60.5;1970;Dragnet;Gillnet;12;50;12
NS0213U3;Uroa;M;30.5;2006;Handline;Longline;8;15;8
NS0213U4;Uroa;M;21.5;2015;Handline;Spear;1;6;1
NS0213U5;Uroa;M;21.5;2015;Handline;none;4;6;4
NS0214C6;Chwaka;M;40.5;2011;Gillnet;Dragnet;3;10;3
NS0214C7;Chwaka;M;21.5;2011;Spear;Dragnet;1;10;1
NS0214C8;Chwaka;M;21.5;2017;Handline;none;1;4;1
NS0214C9;Chwaka;M;40.5;2001;Dragnet;none;10;20;10
NS0214C10;Chwaka;M;21.5;2018;Spear;none;6;3;6
NS0220M11;Marumbi;M;30.5;2009;Spear;none;1;12;1
NS0220M12;Marumbi;M;50.5;1996;Handline;none;1;25;1
NS0220M13;Marumbi;M;30.5;2011;Gillnet;Trap;2;10;2
NS0220M14;Marumbi;M;40.5;2001;Trap;Handline, Gillnet;2;10;2
NS0220M15;Marumbi;M;30.5;2001;Trap;Gillnet;3;10;3
NS0221P16;Pongwe;M;40.5;1991;Spear;Handline;1;30;1
NS0221P17;Pongwe;M;60.5;1972;Handline;Trap, Gillnet;4;49;4
NS0221P18;Pongwe;M;50.5;1991;Longline;Handline;4;25;4
NS0221P19;Pongwe;M;50.5;1991;Handline;Trap;1;30;1
NS0221P20;Pongwe;M;70.5;1971;Handline;none;1;50;1
HK0213U1;Uroa;M;50.5;1996;Longline;Handline;2;10;2
HK0213U2;Uroa;M;30.5;2001;Handline;none;4;15;4
HK0213U3;Uroa;M;30.5;1986;Gillnet/Handline;none;1;20;1
HK0213U4;Uroa;M;40.5;2004;Gillnet;none;7;15;7
HK0213U5;Uroa;M;20.5;2010;Spear;none;7;11;7
HK0214C6;Chwaka;M;20.5;2010;Spear;none;4;11;4
HK0214C7;Chwaka;M;30.5;2006;Handline;Trap;3;15;3
HK0214C8;Chwaka;M;50.5;1991;Trap;Dragnet;2;30;2
HK0214C9;Chwaka;M;30.5;2006;Gillnet;none;15;15;15
HK0214C10;Chwaka;M;30.5;1998;Trap;none;1;23;1
HK0220M11;Marumbi;M;30.5;2001;Floatnet;Handline;3;20;3
HK0220M12;Marumbi;M;30.5;2006;Gillnet;Trap;3;15;3
HK0220M13;Marumbi;M;30.5;2006;Gillnet;Handline;3;15;3
HK0220M14;Marumbi;M;30.5;2006;Dragnet;Handline;3;15;3
HK0220M15;Marumbi;M;50.5;1981;Trap;none;2;40;2
HK0221P16;Pongwe;M;50.5;1991;Trap;Handline;3;30;3
HK0221P17;Pongwe;M;50.5;1981;Handline;Trap;3;40;3
HK0221P18;Pongwe;M;50.5;1986;Handline;none;1;35;1
HK0221P19;Pongwe;M;50.5;1991;Handline;Trap;1;30;1
HK0221P20;Pongwe;M;50.5;1996;Spear;Dragnet;7;25;7
NJ0213U1;Uroa;M;30.5;2009;Spear;Handline;1;12;1
NJ0213U2;Uroa;M;80.5;1961;Trap;Spear;1;60;1
NJ0213U3;Uroa;M;30.5;2006;Handline;none;1;15;1
NJ0213U4;Uroa;F;21.5;2011;FootFisher;none;1;10;1
NJ0213U5;Uroa;M;50.5;1986;Spear;Handline;1;35;1
NJ0214C6;Chwaka;M;40.5;2006;FootFisher;none;1;15;1
NJ0214C7;Chwaka;M;40.5;2016;FootFisher;none;1;5;1
NJ0214C8;Chwaka;M;40.5;2006;Spear;none;1;15;1
NJ0214C9;Chwaka;M;40.5;2001;Longline;none;3;20;3
NJ0214C10;Chwaka;M;30.5;2006;Gillnet;none;3;15;3
NJ0220M11;Marumbi;M;21.5;2015;Longline;Floatnet;3;6;3
NJ0220M12;Marumbi;M;40.5;1991;Longline;Floatnet+Trap;3;30;3
NJ0220M13;Marumbi;M;30.5;2010;Trap;Floatnet;2;11;2
NJ0220M14;Marumbi;M;21.5;2011;Floatnet;Trap;2;10;2
NJ0220M15;Marumbi;F;30.5;2011;FootFisher;none;1;10;1
NJ0221P16;Pongwe;M;40.5;1996;Trap;none;2;25;2
NJ0221P17;Pongwe;M;80.5;1971;Trap;none;1;50;1
NJ0221P18;Pongwe;M;40.5;1991;Handline;none;1;30;1
NJ0221P19;Pongwe;M;40.5;1991;Spear;none;1;30;1
NJ0221P20;Pongwe;M;50.5;1991;Fence;Handline;1;30;1
